feature,importance
MSP(per quintol),0.20666234
cpi_msp_ratio,0.13206908
is_winter,0.105265
variety_encoded,0.06278189
CPI(base year2012=100),0.06121976
subsidy_per_capita,0.04978541
Food_Subsidy(in thousand crores),0.049372748
"Per_Capita_Income(per capita nsdp,rs)",0.038276307
Elec_Agri_Share(%),0.036883637
Export(Million MT),0.034940954
district_encoded,0.023771362
Production(million tonnes),0.023361431
Area(million ha),0.023251956
Import(Million MT),0.022678006
Fertilizer_Consumption(kg/ha),0.02134844
day_of_year,0.019628083
yield_per_area,0.016975323
week_of_year,0.016243037
market_name_encoded,0.010252777
quarter,0.0100216875
temp_rainfall_interaction,0.006832604
is_monsoon,0.0058081485
production_per_area,0.00468507
month,0.0036776594
commodity_name_encoded,0.0035715236
year,0.002373773
Yield(kg/ha),0.0021731718
temperature(celcius),0.002100597
is_summer,0.0016646856
rainfall(mm),0.0009591769
day,0.0007674219
day_of_week,0.00059694395
state_name_encoded,0.0
